Colaborador_gen;Celula;Categoria;Especialidade;Nivel
Colaborador 1;TECH;Cloud;Azure;Avançado
Colaborador 1;TECH;Desenvolvimento;Script powershell;Avançado
Colaborador 1;TECH;Devops;Terraform;Avançado
Colaborador 1;TECH;Firewall;ForefrontTMG;Avançado
Colaborador 1;TECH;Firewall;Windows;Avançado
Colaborador 1;TECH;Segurança;Certificado Digital;Avançado
Colaborador 1;TECH;Segurança;Controle de acessos;Avançado
Colaborador 1;TECH;Segurança;Firewall;Avançado
Colaborador 1;TECH;Segurança;Proteção de identidade;Avançado
Colaborador 1;TECH;Segurança;VPN;Avançado
Colaborador 1;TECH;Servidores;AD;Avançado
Colaborador 1;TECH;Servidores;DHCP;Avançado
Colaborador 1;TECH;Servidores;DNS;Avançado
Colaborador 1;TECH;Servidores;Failover Cluster;Avançado
Colaborador 1;TECH;Servidores;File Server;Avançado
Colaborador 1;TECH;Servidores;Hyper-V;Avançado
Colaborador 1;TECH;Servidores;RDS;Avançado
Colaborador 1;TECH;Servidores;Windows Server;Avançado
Colaborador 1;TECH;SO;Windows;Avançado
Colaborador 10;TECH;Monitoramento;Nagios;Avançado
Colaborador 10;TECH;Monitoramento;SolarWinds;Avançado
Colaborador 11;NOC;Firewalls;Checkpoint;Avançado
Colaborador 11;NOC;Firewalls;Fortinet;Avançado
Colaborador 11;NOC;Firewalls;ISO;Avançado
Colaborador 11;NOC;Firewalls;LGPD;Avançado
Colaborador 11;NOC;Firewalls;SonicWall;Avançado
Colaborador 11;NOC;Firewalls;Sophos;Avançado
Colaborador 11;NOC;Redes;Cabeamento;Avançado
Colaborador 11;NOC;Redes;Estrutura de Redes;Avançado
Colaborador 11;NOC;Segurança;Antivirus Macaffe;Avançado
Colaborador 11;NOC;Segurança;Antivirus Sophos;Avançado
Colaborador 11;NOC;Segurança;Antivirus Trend;Avançado
Colaborador 11;NOC;Segurança;SIEM Inteliacts;Avançado
Colaborador 11;NOC;Segurança;VPN;Avançado
Colaborador 11;NOC;SO;Linux Red Hat;Avançado
Colaborador 11;NOC;SO;Linux Ubuntu;Avançado
Colaborador 11;NOC;SO;Windows;Avançado
Colaborador 15;NOC;Segurança;SonicWall VPN;Avançado
Colaborador 15;NOC;Segurança;Windows VPN;Avançado
Colaborador 15;NOC;SO;Windows;Avançado
Colaborador 16;NOC;Segurança;Anydesk;Avançado
Colaborador 16;NOC;Segurança;TakeControl;Avançado
Colaborador 16;NOC;Segurança;Team Viewer;Avançado
Colaborador 16;NOC;Segurança;UnltraVNC;Avançado
