,Colaborador_gen,Categoria,Especialidade,Nivel,Turma
0,Colaborador 1,Cloud,Azure,Avançado,0
1,Colaborador 1,Desenvolvimento,Script powershell,Avançado,0
2,Colaborador 1,Devops,Terraform,Avançado,0
3,Colaborador 1,Firewall,ForefrontTMG,Avançado,0
4,Colaborador 1,Firewall,Windows,Avançado,0
5,Colaborador 1,Segurança,Certificado Digital,Avançado,0
6,Colaborador 1,Segurança,Controle de acessos,Avançado,0
7,Colaborador 1,Segurança,Firewall,Avançado,0
8,Colaborador 1,Segurança,Proteção de identidade,Avançado,0
9,Colaborador 1,Segurança,VPN,Avançado,0
10,Colaborador 1,Servidores,AD,Avançado,0
11,Colaborador 1,Servidores,DHCP,Avançado,0
12,Colaborador 1,Servidores,DNS,Avançado,0
13,Colaborador 1,Servidores,Failover Cluster,Avançado,0
14,Colaborador 1,Servidores,File Server,Avançado,0
15,Colaborador 1,Servidores,Hyper-V,Avançado,0
16,Colaborador 1,Servidores,RDS,Avançado,0
17,Colaborador 1,Servidores,Windows Server,Avançado,0
18,Colaborador 1,SO,Windows,Avançado,0
19,Colaborador 10,Monitoramento,Nagios,Avançado,0
20,Colaborador 10,Monitoramento,SolarWinds,Avançado,0
21,Colaborador 11,Firewalls,Checkpoint,Avançado,0
22,Colaborador 11,Firewalls,Fortinet,Avançado,0
23,Colaborador 11,Firewalls,ISO,Avançado,0
24,Colaborador 11,Firewalls,LGPD,Avançado,0
25,Colaborador 11,Firewalls,SonicWall,Avançado,0
26,Colaborador 11,Firewalls,Sophos,Avançado,0
27,Colaborador 11,Redes,Cabeamento,Avançado,0
28,Colaborador 11,Redes,Estrutura de Redes,Avançado,0
29,Colaborador 11,Segurança,Antivirus Macaffe,Avançado,0
30,Colaborador 11,Segurança,Antivirus Sophos,Avançado,0
31,Colaborador 11,Segurança,Antivirus Trend,Avançado,0
32,Colaborador 11,Segurança,SIEM Inteliacts,Avançado,0
33,Colaborador 11,Segurança,VPN,Avançado,0
34,Colaborador 11,SO,Linux Red Hat,Avançado,0
35,Colaborador 11,SO,Linux Ubuntu,Avançado,0
36,Colaborador 11,SO,Windows,Avançado,0
37,Colaborador 15,Segurança,SonicWall VPN,Avançado,0
38,Colaborador 15,Segurança,Windows VPN,Avançado,0
39,Colaborador 15,SO,Windows,Avançado,0
40,Colaborador 16,Segurança,Anydesk,Avançado,0
41,Colaborador 16,Segurança,TakeControl,Avançado,0
42,Colaborador 16,Segurança,Team Viewer,Avançado,0
43,Colaborador 16,Segurança,UnltraVNC,Avançado,0
44,Colaborador 19,Redes,Estrutura de Redes,Avançado,0
45,Colaborador 19,Segurança,Antivirus Sophos,Avançado,0
46,Colaborador 19,Segurança,Antivirus Trend,Avançado,0
47,Colaborador 19,Segurança,VPN,Avançado,0
48,Colaborador 19,SO,Windows,Avançado,0
49,Colaborador 2,Firewall,IPTables,Avançado,0
50,Colaborador 2,Firewall,Windows,Avançado,0
51,Colaborador 2,Proxy,Perfsense,Avançado,0
52,Colaborador 2,Proxy,Speed,Avançado,0
53,Colaborador 2,Redes,Cabeamento,Avançado,0
54,Colaborador 2,Redes,Redes,Avançado,0
55,Colaborador 2,Redes,Roteadores,Avançado,0
56,Colaborador 2,Redes,Switches,Avançado,0
57,Colaborador 2,Segurança,Checkpoint,Avançado,0
58,Colaborador 2,Segurança,Firewall Fortinet,Avançado,0
59,Colaborador 2,Segurança,Firewall Sophos,Avançado,0
60,Colaborador 2,Segurança,VPN,Avançado,0
61,Colaborador 2,Servidores,VMWare,Avançado,0
62,Colaborador 2,Storage,Dell,Avançado,0
63,Colaborador 20,SO,Windows,Avançado,0
64,Colaborador 21,Infraestrutura,Manutenção de Computadores,Avançado,0
65,Colaborador 4,E-mail/Collab,Power BI,Avançado,0
66,Colaborador 5,Backup,HP Data Protector,Avançado,0
67,Colaborador 5,Backup,MABS,Avançado,0
