Categoria,0,1,2
Automação,0.0,0.0,1.0
Backup,2.0,18.0,10.0
Cloud,1.0,13.0,3.0
Data Science,0.0,2.0,2.0
Database,2.0,20.0,5.0
Desenvolvimento,9.0,22.0,25.0
DevOps,0.0,4.0,0.0
Devops,1.0,19.0,10.0
E-mail/Collab,1.0,4.0,6.0
E-mails/Collab,2.0,12.0,13.0
Firewall,8.0,6.0,3.0
Firewalls,6.0,8.0,5.0
Hardware,2.0,0.0,0.0
Infraestrutura,1.0,2.0,2.0
Monitoramento,2.0,11.0,14.0
Proxy,2.0,1.0,0.0
Redes,16.0,19.0,17.0
SO,13.0,19.0,12.0
Segurança,32.0,17.0,14.0
Servidores,25.0,28.0,22.0
Storage,2.0,5.0,6.0
Telefonia,0.0,5.0,5.0
